scale,real_chunks,modality,query,run,lado_a_latencia_ms,lado_a_qps,lado_a_ram_delta_mb,lado_a_mem_pico_mb,lado_a_precision,lado_a_recall,lado_b_latencia_ms,lado_b_qps,lado_b_ram_delta_mb,lado_b_mem_pico_mb,lado_b_precision,lado_b_recall,lado_b_io_shared_hit,lado_b_io_shared_read,overlap_at_k
100k,100000,audio,data\raw\fma_small\095\095310.mp3,1,22.503,44.44,0.3633,0.3389,0.1,0.0016,823.367,1.21,0.0234,0.1138,0.1,0.0016,3954,10446,0.0
100k,100000,audio,data\raw\fma_small\095\095310.mp3,2,13.331,75.01,0.1875,0.3389,0.1,0.0016,626.755,1.6,0.0,0.1144,0.1,0.0016,7890,6510,0.0
100k,100000,audio,data\raw\fma_small\095\095310.mp3,3,12.673,78.91,0.2383,0.3389,0.1,0.0016,709.596,1.41,0.0,0.1134,0.1,0.0016,11826,2574,0.0
100k,100000,audio,data\raw\fma_small\014\014571.mp3,1,3.393,294.74,0.0,0.067,0.2222,0.0074,650.014,1.54,0.0,0.1119,0.0,0.0,14280,120,0.1
100k,100000,audio,data\raw\fma_small\014\014571.mp3,2,3.269,305.89,0.0,0.067,0.2222,0.0074,656.225,1.52,0.0,0.1091,0.0,0.0,14400,0,0.1
100k,100000,audio,data\raw\fma_small\014\014571.mp3,3,3.397,294.41,0.0,0.067,0.2222,0.0074,661.751,1.51,0.0039,0.1103,0.0,0.0,14400,0,0.1
100k,100000,audio,data\raw\fma_small\059\059658.mp3,1,4.504,222.03,0.0,0.1496,0.5556,0.0065,643.898,1.55,0.0,0.1126,0.1,0.0013,14400,0,0.2
100k,100000,audio,data\raw\fma_small\059\059658.mp3,2,4.349,229.93,0.0,0.1496,0.5556,0.0065,693.181,1.44,0.0,0.1118,0.2,0.0026,14400,0,0.2
100k,100000,audio,data\raw\fma_small\059\059658.mp3,3,7.278,137.41,0.0,0.1496,0.5556,0.0065,722.932,1.38,0.0,0.1125,0.2,0.0026,14400,0,0.2
100k,100000,audio,data\raw\fma_small\075\075376.mp3,1,13.08,76.45,0.0781,0.2797,0.0,0.0,715.383,1.4,0.0938,0.1127,0.1,0.0015,14400,0,0.0
100k,100000,audio,data\raw\fma_small\075\075376.mp3,2,11.542,86.64,0.0039,0.2797,0.0,0.0,747.707,1.34,0.0117,0.1126,0.1,0.0015,14400,0,0.0
100k,100000,audio,data\raw\fma_small\075\075376.mp3,3,14.808,67.53,0.0508,0.2797,0.0,0.0,721.475,1.39,0.0078,0.1477,0.1,0.0015,14400,0,0.0
100k,100000,audio,data\raw\fma_small\076\076128.mp3,1,22.946,43.58,0.0312,0.2989,0.2,0.0032,727.154,1.38,0.0078,0.1123,0.0,0.0,14400,0,0.0
100k,100000,audio,data\raw\fma_small\076\076128.mp3,2,18.487,54.09,0.0,0.299,0.2,0.0032,827.209,1.21,0.0,0.1092,0.0,0.0,14400,0,0.0
100k,100000,audio,data\raw\fma_small\076\076128.mp3,3,47.601,21.01,0.0312,0.299,0.2,0.0032,693.668,1.44,0.0,0.1091,0.0,0.0,14400,0,0.0
