scale,real_chunks,modality,query,run,lado_a_latencia_ms,lado_a_qps,lado_a_ram_delta_mb,lado_a_mem_pico_mb,lado_a_io_reads,lado_a_io_read_mb,lado_a_io_load_mb,lado_a_index_mb,lado_a_precision,lado_a_recall,lado_a_rr,lado_b_latencia_ms,lado_b_qps,lado_b_ram_delta_mb,lado_b_mem_pico_mb,lado_b_precision,lado_b_recall,lado_b_rr,lado_b_io_shared_hit,lado_b_io_shared_read,lado_b_gist_latencia_ms,lado_b_gist_qps,lado_b_gist_ram_delta_mb,lado_b_gist_mem_pico_mb,lado_b_gist_io_shared_hit,lado_b_gist_io_shared_read,lado_b_gist_rr,overlap_at_k
10k,10000,image,data\raw\fashion-dataset\images\11070.jpg,1,3423.061,0.29,9.0586,2.3265,4,0.0,13.7572,13.6244,0.8889,0.0462,0.5,76.56,13.06,3.6211,0.1636,0.8889,0.0462,1.0,590,0,,,,,,,,0.9
10k,10000,image,data\raw\fashion-dataset\images\11070.jpg,2,1003.655,1.0,7.8281,2.3249,0,0.0,13.7572,13.6244,0.8889,0.0462,0.5,76.782,13.02,3.168,0.1648,0.8889,0.0462,1.0,590,0,,,,,,,,0.9
10k,10000,image,data\raw\fashion-dataset\images\11070.jpg,3,1054.217,0.95,7.0508,2.3255,0,0.0,13.7572,13.6244,0.8889,0.0462,0.5,71.19,14.05,3.2266,0.163,0.8889,0.0462,1.0,590,0,,,,,,,,0.9
10k,10000,image,data\raw\fashion-dataset\images\11023.jpg,1,626.784,1.6,6.0078,2.3175,0,0.0,13.7572,13.6244,0.5556,0.0185,1.0,61.607,16.23,5.8711,0.104,0.5556,0.0185,1.0,433,0,,,,,,,,1.0
10k,10000,image,data\raw\fashion-dataset\images\11023.jpg,2,616.341,1.62,8.4883,2.3166,0,0.0,13.7572,13.6244,0.5556,0.0185,1.0,67.803,14.75,4.2539,0.1007,0.5556,0.0185,1.0,433,0,,,,,,,,1.0
10k,10000,image,data\raw\fashion-dataset\images\11023.jpg,3,563.922,1.77,8.1992,2.3165,0,0.0,13.7572,13.6244,0.5556,0.0185,1.0,61.794,16.18,3.9453,0.101,0.5556,0.0185,1.0,433,0,,,,,,,,1.0
10k,10000,image,data\raw\fashion-dataset\images\10286.jpg,1,439.447,2.28,5.2305,2.3141,0,0.0,13.7572,13.6244,0.0,0.0,1.0,44.287,22.58,4.0977,0.1113,0.0,0.0,1.0,641,0,,,,,,,,1.0
10k,10000,image,data\raw\fashion-dataset\images\10286.jpg,2,531.221,1.88,1.7578,2.3142,0,0.0,13.7572,13.6244,0.0,0.0,1.0,48.162,20.76,5.8398,0.1134,0.0,0.0,1.0,641,0,,,,,,,,1.0
10k,10000,image,data\raw\fashion-dataset\images\10286.jpg,3,466.995,2.14,9.1953,2.314,0,0.0,13.7572,13.6244,0.0,0.0,1.0,42.944,23.29,-2.4688,0.111,0.0,0.0,1.0,641,0,,,,,,,,1.0
10k,10000,image,data\raw\fashion-dataset\images\10113.jpg,1,571.595,1.75,3.4414,2.3191,0,0.0,13.7572,13.6244,0.2222,0.0714,1.0,53.638,18.64,0.0312,0.1182,0.2222,0.0714,1.0,464,0,,,,,,,,0.9
10k,10000,image,data\raw\fashion-dataset\images\10113.jpg,2,634.342,1.58,5.8906,2.3187,0,0.0,13.7572,13.6244,0.2222,0.0714,1.0,51.891,19.27,0.0078,0.1178,0.2222,0.0714,1.0,464,0,,,,,,,,0.9
10k,10000,image,data\raw\fashion-dataset\images\10113.jpg,3,631.726,1.58,1.9258,2.3201,0,0.0,13.7572,13.6244,0.2222,0.0714,1.0,50.845,19.67,-8.7891,0.1533,0.2222,0.0714,1.0,464,0,,,,,,,,0.9
10k,10000,image,data\raw\fashion-dataset\images\11169.jpg,1,1321.146,0.76,3.1094,2.3245,0,0.0,13.7572,13.6244,0.3333,0.1579,1.0,67.165,14.89,-0.3086,0.1781,0.3333,0.1579,1.0,347,0,,,,,,,,1.0
10k,10000,image,data\raw\fashion-dataset\images\11169.jpg,2,1361.972,0.73,-5.0352,2.3188,0,0.0,13.7572,13.6244,0.3333,0.1579,1.0,63.63,15.72,1.5664,0.178,0.3333,0.1579,1.0,347,0,,,,,,,,1.0
10k,10000,image,data\raw\fashion-dataset\images\11169.jpg,3,1444.78,0.69,3.2617,2.3183,0,0.0,13.7572,13.6244,0.3333,0.1579,1.0,71.464,13.99,-0.0039,0.1775,0.3333,0.1579,1.0,347,0,,,,,,,,1.0
