scale,real_chunks,modality,query,run,lado_a_latencia_ms,lado_a_qps,lado_a_ram_delta_mb,lado_a_mem_pico_mb,lado_a_io_reads,lado_a_io_read_mb,lado_a_io_load_mb,lado_a_index_mb,lado_a_precision,lado_a_recall,lado_b_latencia_ms,lado_b_qps,lado_b_ram_delta_mb,lado_b_mem_pico_mb,lado_b_precision,lado_b_recall,lado_b_io_shared_hit,lado_b_io_shared_read,overlap_at_k
1k,1000,audio,data\raw\fma_small\000\000615.mp3,1,0.716,1396.45,0.0156,0.0426,0,0.0,0.2839,0.0111,0.0,0.0,32.996,30.31,0.0352,0.1012,0.0,0.0,143,0,0.8
1k,1000,audio,data\raw\fma_small\000\000615.mp3,2,0.438,2281.54,0.0,0.0426,0,0.0,0.2839,0.0111,0.0,0.0,26.424,37.84,0.0117,0.102,0.0,0.0,143,0,0.8
1k,1000,audio,data\raw\fma_small\000\000615.mp3,3,0.631,1584.53,0.0,0.0426,0,0.0,0.2839,0.0111,0.0,0.0,35.435,28.22,0.0078,0.1009,0.0,0.0,143,0,0.8
1k,1000,audio,data\raw\fma_small\000\000705.mp3,1,0.509,1963.86,0.0,0.0428,0,0.0,0.2839,0.0111,0.3333,0.4286,35.2,28.41,0.0039,0.1031,0.4444,0.5714,143,0,0.9
1k,1000,audio,data\raw\fma_small\000\000705.mp3,2,0.508,1970.06,0.0039,0.0428,0,0.0,0.2839,0.0111,0.3333,0.4286,24.047,41.58,0.0078,0.1011,0.4444,0.5714,143,0,0.9
1k,1000,audio,data\raw\fma_small\000\000705.mp3,3,0.501,1997.6,0.0,0.0428,0,0.0,0.2839,0.0111,0.3333,0.4286,24.909,40.15,0.0039,0.1009,0.4444,0.5714,143,0,0.9
1k,1000,audio,data\raw\fma_small\000\000707.mp3,1,0.615,1627.07,0.0,0.0432,0,0.0,0.2839,0.0111,0.3333,0.4286,24.31,41.13,0.0039,0.1015,0.3333,0.4286,143,0,0.9
1k,1000,audio,data\raw\fma_small\000\000707.mp3,2,0.76,1315.96,0.0039,0.0432,0,0.0,0.2839,0.0111,0.3333,0.4286,26.422,37.85,0.0039,0.1014,0.3333,0.4286,143,0,0.9
1k,1000,audio,data\raw\fma_small\000\000707.mp3,3,0.533,1876.88,0.0,0.0432,0,0.0,0.2839,0.0111,0.3333,0.4286,32.273,30.99,0.0,0.1017,0.3333,0.4286,143,0,0.9
1k,1000,audio,data\raw\fma_small\000\000534.mp3,1,0.55,1817.85,0.0,0.0428,0,0.0,0.2839,0.0111,0.8889,0.3478,27.592,36.24,0.0,0.101,0.8889,0.3478,143,0,1.0
1k,1000,audio,data\raw\fma_small\000\000534.mp3,2,0.707,1414.43,0.0,0.0428,0,0.0,0.2839,0.0111,0.8889,0.3478,29.582,33.8,0.0078,0.1008,0.8889,0.3478,143,0,1.0
1k,1000,audio,data\raw\fma_small\000\000534.mp3,3,0.506,1976.28,0.0,0.0428,0,0.0,0.2839,0.0111,0.8889,0.3478,27.433,36.45,0.0078,0.136,0.8889,0.3478,143,0,1.0
1k,1000,audio,data\raw\fma_small\000\000540.mp3,1,0.54,1851.85,0.0,0.0431,0,0.0,0.2839,0.0111,0.8889,0.3478,24.389,41.0,0.0039,0.1019,0.7778,0.3043,143,0,0.9
1k,1000,audio,data\raw\fma_small\000\000540.mp3,2,0.494,2023.06,0.0,0.0431,0,0.0,0.2839,0.0111,0.8889,0.3478,26.119,38.29,0.0039,0.102,0.7778,0.3043,143,0,0.9
1k,1000,audio,data\raw\fma_small\000\000540.mp3,3,0.504,1985.31,0.0039,0.0431,0,0.0,0.2839,0.0111,0.8889,0.3478,30.063,33.26,0.0078,0.1018,0.7778,0.3043,143,0,0.9
