scale,real_chunks,modality,query,run,lado_a_latencia_ms,lado_a_qps,lado_a_ram_delta_mb,lado_a_mem_pico_mb,lado_a_io_reads,lado_a_io_read_mb,lado_a_io_load_mb,lado_a_index_mb,lado_a_precision,lado_a_recall,lado_a_rr,lado_b_latencia_ms,lado_b_qps,lado_b_ram_delta_mb,lado_b_mem_pico_mb,lado_b_precision,lado_b_recall,lado_b_rr,lado_b_io_shared_hit,lado_b_io_shared_read,lado_b_gist_latencia_ms,lado_b_gist_qps,lado_b_gist_ram_delta_mb,lado_b_gist_mem_pico_mb,lado_b_gist_io_shared_hit,lado_b_gist_io_shared_read,lado_b_gist_rr,overlap_at_k
1k,1000,audio,data\raw\fma_small\000\000005.mp3,1,0.071,14144.27,0.0078,0.0048,0,0.0,0.2839,0.0111,0.3333,0.75,1.0,11.646,85.87,0.0234,0.0618,0.3333,0.75,1.0,107,0,,,,,,,,1.0
1k,1000,audio,data\raw\fma_small\000\000005.mp3,2,0.072,13793.1,0.0039,0.0048,0,0.0,0.2839,0.0111,0.3333,0.75,1.0,9.917,100.84,0.0078,0.0625,0.3333,0.75,1.0,107,0,,,,,,,,1.0
1k,1000,audio,data\raw\fma_small\000\000005.mp3,3,0.066,15197.57,0.0,0.0048,0,0.0,0.2839,0.0111,0.3333,0.75,1.0,8.726,114.61,0.0078,0.0611,0.3333,0.75,1.0,107,0,,,,,,,,1.0
1k,1000,audio,data\raw\fma_small\000\000714.mp3,1,0.063,15898.26,0.0039,0.0054,0,0.0,0.2839,0.0111,0.3333,0.1304,1.0,8.476,117.98,0.0,0.0632,0.4444,0.1739,1.0,106,0,,,,,,,,0.8
1k,1000,audio,data\raw\fma_small\000\000714.mp3,2,0.069,14450.87,0.0039,0.0054,0,0.0,0.2839,0.0111,0.3333,0.1304,1.0,8.67,115.33,0.0,0.061,0.4444,0.1739,1.0,106,0,,,,,,,,0.8
1k,1000,audio,data\raw\fma_small\000\000714.mp3,3,0.055,18348.62,0.0,0.0054,0,0.0,0.2839,0.0111,0.3333,0.1304,1.0,10.063,99.37,0.0039,0.0611,0.4444,0.1739,1.0,106,0,,,,,,,,0.8
1k,1000,audio,data\raw\fma_small\000\000534.mp3,1,0.049,20408.17,0.0,0.0028,0,0.0,0.2839,0.0111,0.8889,0.3478,1.0,8.197,121.99,0.0039,0.061,0.8889,0.3478,1.0,104,0,,,,,,,,1.0
1k,1000,audio,data\raw\fma_small\000\000534.mp3,2,0.044,22831.04,0.0,0.0028,0,0.0,0.2839,0.0111,0.8889,0.3478,1.0,9.033,110.7,0.0,0.0609,0.8889,0.3478,1.0,104,0,,,,,,,,1.0
1k,1000,audio,data\raw\fma_small\000\000534.mp3,3,0.042,24096.37,0.0,0.0028,0,0.0,0.2839,0.0111,0.8889,0.3478,1.0,8.334,119.99,-0.0039,0.0606,0.8889,0.3478,1.0,104,0,,,,,,,,1.0
1k,1000,audio,data\raw\fma_small\000\000190.mp3,1,0.062,16155.09,0.0039,0.0048,0,0.0,0.2839,0.0111,1.0,0.3913,1.0,8.866,112.79,0.0,0.0607,1.0,0.3913,1.0,107,0,,,,,,,,0.9
1k,1000,audio,data\raw\fma_small\000\000190.mp3,2,0.058,17211.7,0.0,0.0048,0,0.0,0.2839,0.0111,1.0,0.3913,1.0,8.176,122.32,0.0039,0.0607,1.0,0.3913,1.0,107,0,,,,,,,,0.9
1k,1000,audio,data\raw\fma_small\000\000190.mp3,3,0.057,17636.68,0.0,0.0048,0,0.0,0.2839,0.0111,1.0,0.3913,1.0,8.798,113.66,0.0,0.0958,1.0,0.3913,1.0,107,0,,,,,,,,0.9
1k,1000,audio,data\raw\fma_small\000\000707.mp3,1,0.072,13812.16,0.0,0.0052,0,0.0,0.2839,0.0111,0.3333,0.4286,1.0,8.512,117.48,0.0039,0.0607,0.3333,0.4286,1.0,106,0,,,,,,,,0.8
1k,1000,audio,data\raw\fma_small\000\000707.mp3,2,0.076,13192.61,0.0039,0.0052,0,0.0,0.2839,0.0111,0.3333,0.4286,1.0,9.147,109.33,0.0039,0.0606,0.3333,0.4286,1.0,106,0,,,,,,,,0.8
1k,1000,audio,data\raw\fma_small\000\000707.mp3,3,0.083,12091.9,0.0039,0.0052,0,0.0,0.2839,0.0111,0.3333,0.4286,1.0,8.794,113.72,0.0039,0.0607,0.3333,0.4286,1.0,106,0,,,,,,,,0.8
