scale,real_chunks,modality,query,run,lado_a_latencia_ms,lado_a_qps,lado_a_ram_delta_mb,lado_a_mem_pico_mb,lado_a_io_reads,lado_a_io_read_mb,lado_a_io_load_mb,lado_a_index_mb,lado_a_precision,lado_a_recall,lado_b_latencia_ms,lado_b_qps,lado_b_ram_delta_mb,lado_b_mem_pico_mb,lado_b_precision,lado_b_recall,lado_b_io_shared_hit,lado_b_io_shared_read,overlap_at_k
1k,1000,image,data\raw\fashion-dataset\images\10009.jpg,1,2017.036,0.5,6.2852,0.2394,4,0.0,1.1924,1.0596,1.0,0.1731,60.406,16.55,-0.332,0.1672,1.0,0.1731,143,0,1.0
1k,1000,image,data\raw\fashion-dataset\images\10009.jpg,2,68.836,14.53,3.0625,0.2387,0,0.0,1.1924,1.0596,1.0,0.1731,53.514,18.69,5.625,0.1677,1.0,0.1731,143,0,1.0
1k,1000,image,data\raw\fashion-dataset\images\10009.jpg,3,63.491,15.75,3.0039,0.2376,0,0.0,1.1924,1.0596,1.0,0.1731,62.106,16.1,-0.332,0.1668,1.0,0.1731,143,0,1.0
1k,1000,image,data\raw\fashion-dataset\images\10035.jpg,1,76.868,13.01,2.8398,0.2371,0,0.0,1.1924,1.0596,0.6667,0.25,44.693,22.37,-0.4688,0.1873,0.6667,0.25,143,0,1.0
1k,1000,image,data\raw\fashion-dataset\images\10035.jpg,2,77.22,12.95,6.2109,0.2373,0,0.0,1.1924,1.0596,0.6667,0.25,49.053,20.39,-2.7695,0.1846,0.6667,0.25,143,0,1.0
1k,1000,image,data\raw\fashion-dataset\images\10035.jpg,3,69.991,14.29,2.6602,0.2369,0,0.0,1.1924,1.0596,0.6667,0.25,54.1,18.48,4.293,0.1846,0.6667,0.25,143,0,1.0
1k,1000,image,data\raw\fashion-dataset\images\10068.jpg,1,74.914,13.35,5.2695,0.2381,0,0.0,1.1924,1.0596,0.8889,0.1538,44.301,22.57,0.1602,0.0891,0.8889,0.1538,143,0,1.0
1k,1000,image,data\raw\fashion-dataset\images\10068.jpg,2,77.261,12.94,5.6992,0.2384,0,0.0,1.1924,1.0596,0.8889,0.1538,45.808,21.83,0.293,0.0892,0.8889,0.1538,143,0,1.0
1k,1000,image,data\raw\fashion-dataset\images\10068.jpg,3,69.335,14.42,5.8594,0.2384,0,0.0,1.1924,1.0596,0.8889,0.1538,47.175,21.2,-0.2109,0.0891,0.8889,0.1538,143,0,1.0
1k,1000,image,data\raw\fashion-dataset\images\10014.jpg,1,39.642,25.23,1.3711,0.2273,0,0.0,1.1924,1.0596,0.0,,41.448,24.13,0.043,0.0748,0.0,,143,0,1.0
1k,1000,image,data\raw\fashion-dataset\images\10014.jpg,2,38.1,26.25,1.582,0.2274,0,0.0,1.1924,1.0596,0.0,,39.536,25.29,0.0078,0.0746,0.0,,143,0,1.0
1k,1000,image,data\raw\fashion-dataset\images\10014.jpg,3,37.967,26.34,0.6836,0.2273,0,0.0,1.1924,1.0596,0.0,,41.387,24.16,0.5,0.11,0.0,,143,0,1.0
1k,1000,image,data\raw\fashion-dataset\images\10020.jpg,1,49.432,20.23,4.8281,0.2284,0,0.0,1.1924,1.0596,0.2222,0.4,67.256,14.87,0.1797,0.0726,0.2222,0.4,143,0,1.0
1k,1000,image,data\raw\fashion-dataset\images\10020.jpg,2,46.763,21.38,5.1758,0.2284,0,0.0,1.1924,1.0596,0.2222,0.4,49.242,20.31,0.0117,0.0725,0.2222,0.4,143,0,1.0
1k,1000,image,data\raw\fashion-dataset\images\10020.jpg,3,48.617,20.57,5.1641,0.2283,0,0.0,1.1924,1.0596,0.2222,0.4,53.654,18.64,0.1055,0.0725,0.2222,0.4,143,0,1.0
